PF10420.15	PF10420.15
PF16830.10	PF16830.10
PF17042.10	PF17042.10
PF23569.1	PF23569.1
PF10444.14	PF10444.14
PF04485.17	PF04485.17
PF08537.15	PF08537.15
PF08599.15	PF08599.15
PF08637.16	PF08637.16
PF22724.1	PF22724.1
PF22726.1	PF22726.1
PF21453.2	PF21453.2
PF21451.2	PF21451.2
PF10309.14	PF10309.14
PF22730.1	PF22730.1
PF04905.18	PF04905.18
PF07562.20	PF07562.20
PF11654.13	PF11654.13
PF16621.10	PF16621.10
PF22728.1	PF22728.1
PF22727.1	PF22727.1
PF22729.1	PF22729.1
PF22731.1	PF22731.1
PF09735.14	PF09735.14
PF15246.11	PF15246.11
PF13820.11	PF13820.11
PF16665.10	PF16665.10
PF18266.8	PF18266.8
PF23844.1	PF23844.1
PF15065.11	PF15065.11
PF16787.10	PF16787.10
PF21400.3	PF21400.3
PF09531.15	PF09531.15
PF03801.18	PF03801.18
PF24487.1	PF24487.1
PF22366.1	PF22366.1
PF19530.4	PF19530.4
PF10716.14	PF10716.14
PF10664.14	PF10664.14
PF11909.13	PF11909.13
PF11910.14	PF11910.14
PF11623.14	PF11623.14
PF00334.24	PF00334.24
PF10179.15	PF10179.15
PF19433.5	PF19433.5
PF24354.1	PF24354.1
PF03096.20	PF03096.20
PF05224.17	PF05224.17
PF05071.21	PF05071.21
PF10249.14	PF10249.14
PF17250.7	PF17250.7
PF10200.14	PF10200.14
PF15880.10	PF15880.10
PF08122.17	PF08122.17
PF07225.17	PF07225.17
PF09781.14	PF09781.14
PF09782.14	PF09782.14
PF05676.18	PF05676.18
PF05821.16	PF05821.16
PF06374.16	PF06374.16
PF04800.17	PF04800.17
PF05031.18	PF05031.18
PF12312.13	PF12312.13
PF00880.23	PF00880.23
PF10379.14	PF10379.14
PF24565.1	PF24565.1
PF10176.14	PF10176.14
PF09292.15	PF09292.15
PF05616.18	PF05616.18
PF14496.11	PF14496.11
PF23553.1	PF23553.1
PF11577.13	PF11577.13
PF10225.14	PF10225.14
PF00960.24	PF00960.24
PF06583.17	PF06583.17
PF22460.2	PF22460.2
PF03391.21	PF03391.21
PF03688.20	PF03688.20
PF03689.21	PF03689.21
PF18557.6	PF18557.6
PF03080.22	PF03080.22
PF14365.11	PF14365.11
PF14780.11	PF14780.11
PF22246.2	PF22246.2
PF08378.17	PF08378.17
PF06390.17	PF06390.17
PF18208.6	PF18208.6
PF25014.1	PF25014.1
PF24918.1	PF24918.1
PF14044.11	PF14044.11
PF03102.20	PF03102.20
PF06413.17	PF06413.17
PF00064.24	PF00064.24
PF07177.19	PF07177.19
PF06567.16	PF06567.16
PF18413.7	PF18413.7
PF02158.20	PF02158.20
PF14927.11	PF14927.11
PF06312.18	PF06312.18
PF20425.4	PF20425.4
PF05536.17	PF05536.17
PF20798.2	PF20798.2
PF16809.10	PF16809.10
PF22745.1	PF22745.1
PF21525.2	PF21525.2
PF00877.26	PF00877.26
PF04170.18	PF04170.18
PF17185.10	PF17185.10
PF22524.2	PF22524.2
PF17889.6	PF17889.6
PF17776.6	PF17776.6
PF21402.2	PF21402.2
PF16136.10	PF16136.10
PF12402.13	PF12402.13
PF24574.2	PF24574.2
PF18753.6	PF18753.6
PF18754.6	PF18754.6
PF18756.6	PF18756.6
PF18757.6	PF18757.6
PF22310.2	PF22310.2
PF21917.1	PF21917.1
PF22174.2	PF22174.2
PF22630.2	PF22630.2
PF04981.18	PF04981.18
PF21192.3	PF21192.3
PF10565.14	PF10565.14
PF21193.3	PF21193.3
PF04973.17	PF04973.17
PF03060.21	PF03060.21
PF05368.20	PF05368.20
PF01233.25	PF01233.25
PF09084.16	PF09084.16
PF13379.11	PF13379.11
PF16868.10	PF16868.10
PF02799.21	PF02799.21
PF02070.20	PF02070.20
PF19285.4	PF19285.4
PF03980.19	PF03980.19
PF22733.1	PF22733.1
PF22734.1	PF22734.1
PF22735.1	PF22735.1
PF22736.1	PF22736.1
PF22737.1	PF22737.1
PF22738.1	PF22738.1
PF01234.23	PF01234.23
PF05940.17	PF05940.17
PF07298.16	PF07298.16
PF06524.17	PF06524.17
PF21949.1	PF21949.1
PF03715.18	PF03715.18
PF07540.16	PF07540.16
PF06816.18	PF06816.18
PF17114.10	PF17114.10
PF17779.7	PF17779.7
PF02474.21	PF02474.21
PF19222.5	PF19222.5
PF07684.17	PF07684.17
PF05401.17	PF05401.17
PF02451.20	PF02451.20
PF06813.19	PF06813.19
PF24679.1	PF24679.1
PF07127.16	PF07127.16
PF25246.1	PF25246.1
PF05830.17	PF05830.17
PF07806.16	PF07806.16
PF12308.13	PF12308.13
PF06858.20	PF06858.20
PF17835.6	PF17835.6
PF08155.16	PF08155.16
PF05806.17	PF05806.17
PF23097.1	PF23097.1
